timestamp,ecg,bpm_ecg,spo2_est,ir,red,ax,ay,az
2025-11-17 10:51:42.186,179.0,121,,,,190.0,17.0,-176.0
2025-11-17 10:51:42.250,526.0,121,,,,189.0,16.0,-175.0
2025-11-17 10:51:42.346,162.0,121,,,,189.0,15.0,-173.0
2025-11-17 10:51:42.409,466.0,121,,,,191.0,15.0,-173.0
2025-11-17 10:51:42.505,130.0,121,,,,191.0,17.0,-174.0
2025-11-17 10:51:42.568,420.0,121,,,,191.0,17.0,-175.0
2025-11-17 10:51:42.666,75.0,121,,,,190.0,18.0,-173.0
2025-11-17 10:51:42.729,330.0,121,,,,190.0,16.0,-174.0
2025-11-17 10:51:42.809,0.0,121,,,,191.0,15.0,-174.0
2025-11-17 10:51:42.905,21.0,121,,,,189.0,17.0,-175.0
2025-11-17 10:51:42.968,0.0,121,,,,189.0,15.0,-175.0
2025-11-17 10:51:43.065,0.0,121,,,,189.0,18.0,-176.0
2025-11-17 10:51:43.128,0.0,121,,,,224.0,2.0,-214.0
2025-11-17 10:51:43.225,0.0,121,,,,99.0,69.0,-95.0
2025-11-17 10:51:43.287,0.0,121,,,,178.0,33.0,-189.0
2025-11-17 10:51:43.384,0.0,121,,,,245.0,6.0,-203.0
2025-11-17 10:51:43.479,0.0,121,,,,153.0,25.0,-164.0
2025-11-17 10:51:43.542,0.0,121,,,,167.0,14.0,-157.0
2025-11-17 10:51:43.602,0.0,121,,,,214.0,18.0,-198.0
2025-11-17 10:51:43.684,0.0,121,,,,183.0,16.0,-176.0
2025-11-17 10:51:43.781,342.0,121,,,,169.0,17.0,-165.0
2025-11-17 10:51:43.843,84.0,121,,,,197.0,18.0,-184.0
2025-11-17 10:51:43.939,477.0,121,,,,192.0,18.0,-179.0
2025-11-17 10:51:44.000,132.0,121,,,,176.0,19.0,-170.0
2025-11-17 10:51:44.097,473.0,121,,,,189.0,14.0,-177.0
2025-11-17 10:51:44.161,128.0,121,,,,193.0,15.0,-181.0
2025-11-17 10:51:44.256,439.0,121,,,,181.0,16.0,-171.0
2025-11-17 10:51:44.321,112.0,121,,,,187.0,17.0,-175.0
2025-11-17 10:51:44.416,414.0,121,,,,191.0,15.0,-181.0
2025-11-17 10:51:44.479,98.0,121,,,,185.0,18.0,-175.0
2025-11-17 10:51:44.575,391.0,121,,,,185.0,11.0,-175.0
2025-11-17 10:51:44.639,80.0,121,,,,189.0,20.0,-180.0
2025-11-17 10:51:44.735,366.0,121,,,,186.0,14.0,-176.0
2025-11-17 10:51:44.798,64.0,121,,,,188.0,17.0,-175.0
2025-11-17 10:51:44.895,349.0,121,,,,187.0,18.0,-177.0
